dataset,view,view_role,feature,feature_class,single_feature_macro_f1,action,notes
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_mean_iat,legitimate_metadata_retained,0.9659250889484419,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_std_iat,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_std_iat,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_min_iat,legitimate_metadata_retained,0.8434549377945604,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_min_iat,legitimate_metadata_retained,0.8488626253582923,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_max_iat,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_max_iat,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_mean_pkt_len,legitimate_metadata_retained,0.9926662722750867,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_mean_pkt_len,legitimate_metadata_retained,0.8935423079206817,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_std_pkt_len,legitimate_metadata_retained,0.9590984690445666,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_std_pkt_len,legitimate_metadata_retained,0.860062914821467,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_min_pkt_len,legitimate_metadata_retained,0.7862592299654688,retain_in_audited_metadata_main,no leakage indication under revised taxonomy
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_min_pkt_len,legitimate_metadata_retained,0.8930827434720818,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_max_pkt_len,legitimate_metadata_retained,0.9902220569629134,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_max_pkt_len,legitimate_metadata_retained,0.8936571787766356,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_num_bytes,legitimate_metadata_retained,0.9937775368685879,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_num_bytes,legitimate_metadata_retained,0.9946110408384183,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_num_psh_flags,legitimate_metadata_retained,0.9589867990761338,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_num_psh_flags,legitimate_metadata_retained,0.9589867990761338,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_num_rst_flags,legitimate_metadata_retained,0.3333333333333333,retain_in_audited_metadata_main,no leakage indication under revised taxonomy
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bwd_num_rst_flags,legitimate_metadata_retained,0.7223767551095004,retain_in_audited_metadata_main,no leakage indication under revised taxonomy
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,fwd_num_urg_flags,legitimate_metadata_retained,0.3333333333333333,retain_in_audited_metadata_main,no leakage indication under revised taxonomy
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,packet_count,legitimate_metadata_retained,0.9682049115629621,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,byte_sum,legitimate_metadata_retained,0.9937775368685879,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,byte_mean,legitimate_metadata_retained,0.9940553454927485,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,byte_std,legitimate_metadata_retained,0.9590984690445666,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,iat_mean,legitimate_metadata_retained,0.9659250889484419,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,iat_std,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,byte_min,legitimate_metadata_retained,0.8930827434720818,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,iat_min,legitimate_metadata_retained,0.9200249415252002,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,byte_max,legitimate_metadata_retained,0.9902220569629134,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,iat_max,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,duration,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,packets_per_second,legitimate_metadata_retained,0.9684275808748022,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,bytes_per_second,legitimate_metadata_retained,0.9696483653804142,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,broker_audited_metadata_main,broker,burstiness,legitimate_metadata_retained,0.9590984690445666,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,prt_src,suspicious_protocol_metadata_retained,0.7856014930427164,retain_with_protocol_metadata_note,no leakage indication under revised taxonomy
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,prt_dst,suspicious_protocol_metadata_retained,0.8591856797175499,retain_with_protocol_metadata_note,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,proto,suspicious_protocol_metadata_retained,0.5811056800200984,retain_with_protocol_metadata_note,no leakage indication under revised taxonomy
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_num_pkts,legitimate_metadata_retained,0.9682049115629621,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_num_pkts,legitimate_metadata_retained,0.9682049115629621,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_mean_iat,legitimate_metadata_retained,0.9659250889484419,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_mean_iat,legitimate_metadata_retained,0.9659250889484419,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_std_iat,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_std_iat,legitimate_metadata_retained,0.9635280849992311,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_min_iat,legitimate_metadata_retained,0.8434549377945604,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_min_iat,legitimate_metadata_retained,0.8488626253582923,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_max_iat,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_max_iat,legitimate_metadata_retained,0.9672616914461107,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_mean_pkt_len,legitimate_metadata_retained,0.9926662722750867,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_mean_pkt_len,legitimate_metadata_retained,0.8935423079206817,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_std_pkt_len,legitimate_metadata_retained,0.9590984690445666,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_std_pkt_len,legitimate_metadata_retained,0.860062914821467,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_min_pkt_len,legitimate_metadata_retained,0.7862592299654688,retain_in_audited_metadata_main,no leakage indication under revised taxonomy
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_min_pkt_len,legitimate_metadata_retained,0.8930827434720818,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_max_pkt_len,legitimate_metadata_retained,0.9902220569629134,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_max_pkt_len,legitimate_metadata_retained,0.8936571787766356,retain_in_audited_metadata_main,single-feature Macro F1 > 0.80; discriminative metadata
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_num_bytes,legitimate_metadata_retained,0.9937775368685879,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_num_bytes,legitimate_metadata_retained,0.9946110408384183,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_num_psh_flags,legitimate_metadata_retained,0.9589867990761338,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,bwd_num_psh_flags,legitimate_metadata_retained,0.9589867990761338,retain_in_audited_metadata_main; conservative_only_removed,"single-feature Macro F1 > 0.90; legitimate encrypted-flow metadata, not leakage"
MQTT-IoT-IDS2020,strict_audited_metadata_main,strict,fwd_num_rst_flags,legitimate_metadata_retained,0.3333333333333333,retain_in_audited_metadata_main,no leakage indication under revised taxonomy
