dataset,view,validation_sample_size,feature_columns,model,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,number_of_features,encoded_number_of_features,train_sample_size,test_sample_size,random_seed
MQTT-IoT-IDS2020,full_feature_upper_bound,3000.0,"[""prt_src"", ""prt_dst"", ""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Extra Trees,ok,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9999986666666667,0.9999986666662716,0.30856419999327045,1.7694100000274676e-05,42,42.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,broker_side_secure_mqtt_metadata,3000.0,"[""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Logistic Regression,ok,0.9923333333333333,0.9923335521482454,0.9923333333333333,0.9923333324814814,0.9923333324814815,0.999736,0.9997506273479375,0.17947270000877324,2.1760333329439164e-06,37,37.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,broker_side_secure_mqtt_metadata,3000.0,"[""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Random Forest,ok,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9999986666666667,0.9999986666662716,0.6497297999885632,2.1372966667210374e-05,37,37.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,broker_side_secure_mqtt_metadata,3000.0,"[""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Extra Trees,ok,0.999,0.9990002217778764,0.999,0.9989999998888889,0.9989999998888889,0.9999986666666666,0.9999986678502737,0.27780509999138303,2.0479233333996186e-05,37,37.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,strict_encrypted_flow_metadata,3000.0,"[""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Logistic Regression,ok,0.9926666666666667,0.9926666666666667,0.9926666666666667,0.9926666666666667,0.9926666666666667,0.999800888888889,0.9998083388327417,0.176067200009129,2.2985000008096298e-06,40,40.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,strict_encrypted_flow_metadata,3000.0,"[""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Random Forest,ok,0.999,0.9990002217778764,0.999,0.9989999998888889,0.9989999998888889,0.9999984444444444,0.9999982231093353,0.527846099997987,1.8927199998870492e-05,40,40.0,14000.0,3000.0,42.0
MQTT-IoT-IDS2020,strict_encrypted_flow_metadata,3000.0,"[""proto"", ""fwd_num_pkts"", ""bwd_num_pkts"", ""fwd_mean_iat"", ""bwd_mean_iat"", ""fwd_std_iat"", ""bwd_std_iat"", ""fwd_min_iat"", ""bwd_min_iat"", ""fwd_max_iat"", ""bwd_max_iat"", ""fwd_mean_pkt_len"", ""bwd_mean_pkt_len"", ""fwd_std_pkt_len"", ""bwd_std_pkt_len"", ""fwd_min_pkt_len"", ""bwd_min_pkt_len"", ""fwd_max_pkt_len"", ""bwd_max_pkt_len"", ""fwd_num_bytes"", ""bwd_num_bytes"", ""fwd_num_psh_flags"", ""bwd_num_psh_flags"", ""fwd_num_rst_flags"", ""bwd_num_rst_flags"", ""fwd_num_urg_flags"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""iat_mean"", ""iat_std"", ""byte_min"", ""iat_min"", ""byte_max"", ""iat_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""burstiness""]",Extra Trees,ok,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9993333333333333,0.9999982222222222,0.9999982231093353,0.34557619999395683,2.0177033332098895e-05,40,40.0,14000.0,3000.0,42.0
MQTTEEB-D_flow_10s,full_feature_upper_bound,762.0,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",Logistic Regression,ok,0.8977719528178244,0.9088938924852237,0.8994336224791388,0.8973131711895757,0.8971782354165614,0.8878448785450147,0.9311011511573846,0.07652049999160226,4.3435124536978655e-06,15,15.0,3556.0,763.0,42.0
MQTTEEB-D_flow_10s,full_feature_upper_bound,762.0,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",Random Forest,ok,0.8938401048492791,0.9038164563181761,0.8954229272919731,0.8934182956377777,0.8932864802591836,0.920425333021734,0.9452481498790051,0.3209383999928832,6.757549147230242e-05,15,15.0,3556.0,763.0,42.0
MQTTEEB-D_flow_10s,full_feature_upper_bound,762.0,"[""window_seconds"", ""packet_count"", ""byte_sum"", ""byte_mean"", ""byte_std"", ""byte_min"", ""byte_max"", ""duration"", ""packets_per_second"", ""bytes_per_second"", ""iat_mean"", ""iat_std"", ""iat_min"", ""iat_max"", ""burstiness""]",Extra Trees,ok,0.8938401048492791,0.9038164563181761,0.8954229272919731,0.8934182956377777,0.8932864802591836,0.921631634659005,0.9437678566973322,0.19895920000271872,6.233787681018814e-05,15,15.0,3556.0,763.0,42.0
