dataset,view,model,seed,class,precision,recall,f1,support
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,Extra Trees,42,legitimate,0.8092485549132948,0.7349081364829396,0.7702888583218708,381
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,Extra Trees,42,malformed,0.8924731182795699,0.9540229885057471,0.9222222222222222,87
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,Extra Trees,42,slowite,0.8977272727272727,0.7821782178217822,0.835978835978836,101
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,HistGradientBoosting,42,bruteforce,0.22772277227722773,0.7419354838709677,0.3484848484848485,31
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,HistGradientBoosting,42,dos,0.7551020408163265,0.43529411764705883,0.5522388059701493,85
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,HistGradientBoosting,42,flood,1.0,0.9487179487179487,0.9736842105263158,78
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,HistGradientBoosting,42,legitimate,0.8243626062322946,0.7637795275590551,0.7929155313351499,381
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,HistGradientBoosting,42,malformed,0.8829787234042553,0.9540229885057471,0.9171270718232043,87
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,HistGradientBoosting,42,slowite,0.8913043478260869,0.8118811881188119,0.8497409326424871,101
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,MLP,42,bruteforce,0.72,0.5806451612903226,0.6428571428571428,31
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,MLP,42,dos,1.0,0.4117647058823529,0.5833333333333334,85
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,MLP,42,flood,0.9487179487179487,0.9487179487179487,0.9487179487179487,78
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,MLP,42,legitimate,0.8181818181818182,0.9448818897637795,0.876979293544458,381
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,MLP,42,malformed,0.7614678899082569,0.9540229885057471,0.846938775510204,87
MQTTEEB-D_flow_10s,strict_encrypted_flow_metadata,MLP,42,slowite,0.8289473684210527,0.6237623762376238,0.7118644067796609,101
