dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,feature_family
MQTTEEB-D_flow_5s,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,4794.0,1027.0,1028.0,11,42,ok,0.8929961089494164,0.8897130202645309,0.9030590634559573,0.8915674203632318,0.8938920661983794,0.9286453839516824,0.9527477713371025,0.15981969999847934,7.190836575332982e-05,all_without_rate
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.8356593929113013,0.9075206194304977,0.6998707138253665,0.7347566705075934,0.8087906844827605,0.9659028291797238,0.8886174256837425,0.20682000000670087,9.613694164548755e-08,packet_count_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.9580024160176832,0.9341082022177345,0.9695071145277725,0.9493496955416114,0.9588235124324886,0.9830007106137313,0.9218831614058145,1.5991298999870196,1.5074947954802023e-06,packet_count_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.9580024160176832,0.9341082022177345,0.9695071145277725,0.9493496955416114,0.9588235124324886,0.9830007106137313,0.9218831614058145,0.511337400006596,1.4927442363421764e-06,packet_count_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.95787390443879,0.9339294079375466,0.9694186408752262,0.9492012141543165,0.9586998492525202,0.9829523649547305,0.9218874560774714,1.134131900005741,9.631711516637183e-07,packet_count_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,181565.0,38907.0,38907.0,3,42,ok,0.828308530598607,0.7920774991471616,0.7567692013994289,0.7709091534512145,0.8228029061307595,0.93171127981749,0.7584520125670442,0.26382510000257753,1.14932942660952e-05,packet_count_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,181565.0,38907.0,38907.0,15,42,ok,0.9826766391651888,0.9718665531169344,0.9858504760380951,0.9785381522549885,0.9828030828390035,0.9959382003644948,0.9916905104746956,1.350361899996642,5.150923996669566e-07,byte_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,181565.0,38907.0,38907.0,15,42,ok,0.9981751355797157,0.9976038450775219,0.9978075580922987,0.9977056401352827,0.9981753223108584,0.999977420526984,0.9999055050487851,2.015219699998852,1.5387796542149114e-06,byte_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,181565.0,38907.0,38907.0,15,42,ok,0.9981751355797157,0.9976038450775219,0.9978075580922987,0.9977056401352827,0.9981753223108584,0.9999774371417544,0.9999055465179961,0.7338305000012042,3.0997789601817422e-06,byte_statistics_only
MQTT-IoT-IDS2020,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,181565.0,38907.0,38907.0,15,42,ok,0.9981751355797157,0.9976038450775219,0.9978075580922987,0.9977056401352827,0.9981753223108584,0.9999772244726929,0.9999050136791982,2.8541221000050427,1.71353483957356e-06,byte_statistics_only
