dataset,task,view,model,split_type,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds,n_train,n_val,n_test,n_features,seed,random_stratified_macro_f1,macro_f1_delta_vs_random
MQTTEEB-D,multiclass,broker_side_safe,HistGradientBoostingClassifier,random_stratified,ok,0.5188402324327562,0.5905139184162775,0.6103444108693044,0.552398825368217,0.53242825250581,,,21.31388820000575,1.033071646773382e-05,155796,33385,33386,9,42,0.552398825368217,0.0
MQTTEEB-D,multiclass,broker_side_safe,Logistic Regression,time_block_split,ok,0.5573593721919368,0.5540889062937223,0.4056100025759853,0.4053622375823756,0.556651412631092,,,14.720488700011629,1.6450578085111026e-06,155796,33385,33386,9,42,0.3821119572341114,0.023250280348264207
MQTTEEB-D,multiclass,broker_side_safe,Random Forest,time_block_split,ok,0.5294734319774755,0.5389004827195747,0.5853551073642121,0.5070965836315287,0.5541699112580059,,,2.6236974999919767,4.260747019681712e-06,155796,33385,33386,9,42,0.5592293652321828,-0.052132781600654154
MQTTEEB-D,multiclass,broker_side_safe,Extra Trees,time_block_split,ok,0.52686754927215,0.5507633649840554,0.5912956472098947,0.5152535132741684,0.5547848962195556,,,1.441542100001243,3.963272030253884e-06,155796,33385,33386,9,42,0.5570358357608384,-0.04178232248667002
MQTTEEB-D,multiclass,broker_side_safe,HistGradientBoostingClassifier,time_block_split,ok,0.5363325945006889,0.586074530725171,0.6099507609067855,0.5306299540707088,0.5633329730467279,,,23.92894320000778,9.576466183392588e-06,155796,33385,33386,9,42,0.552398825368217,-0.021768871297508263
MQTTEEB-D,binary,strict_encrypted_flow_safe,Logistic Regression,random_stratified,ok,0.8804588749775355,0.5913493611311599,0.5928372555677497,0.5920832944849691,0.880941709656854,0.5343556742573108,0.9369712596617579,0.2682765999925323,3.7573533815724026e-07,155796,33385,33386,2,42,0.5920832944849691,0.0
MQTTEEB-D,binary,strict_encrypted_flow_safe,Random Forest,random_stratified,ok,0.8244174204756485,0.6146383570043452,0.7550750136097475,0.6372974072076735,0.8567069373606725,0.7965168984570614,0.969043803880776,2.313208100007614,2.2081291560800937e-06,155796,33385,33386,2,42,0.6372974072076735,0.0
MQTTEEB-D,binary,strict_encrypted_flow_safe,Extra Trees,random_stratified,ok,0.8150122805966573,0.6092826468951575,0.752052449675539,0.628938188747889,0.8502405876398468,0.7968470866844126,0.9692649676786378,0.610021799991955,2.1730276164197345e-06,155796,33385,33386,2,42,0.628938188747889,0.0
MQTTEEB-D,binary,strict_encrypted_flow_safe,HistGradientBoostingClassifier,random_stratified,ok,0.8325046426645899,0.6198667278834532,0.7582500081974531,0.6449887037675468,0.8622889498072376,0.809401492341406,0.9743084063092854,0.9042469999985769,9.173665608823427e-07,155796,33385,33386,2,42,0.6449887037675468,0.0
MQTTEEB-D,binary,strict_encrypted_flow_safe,Logistic Regression,time_block_split,ok,0.8680285149463847,0.5829024793046154,0.6187289503221727,0.5953670303388803,0.8797086062741674,0.5452754023258616,0.946482477387018,0.20433920000505168,2.449260167983129e-07,155796,33385,33386,2,42,0.5920832944849691,0.003283735853911174
