dataset,policy,view_role,view,task,model,split_type,n_train,n_val,n_test,n_features,seed,status,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,roc_auc,pr_auc,training_time_seconds,inference_time_per_sample_seconds
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Logistic Regression,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5573593721919368,0.5540889062937223,0.4056100025759853,0.4053622375823756,0.556651412631092,,,15.861544100000174,1.8969927513999263e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Random Forest,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5292338105792848,0.53890775749535,0.5849403115545008,0.5068498337977203,0.5539876843928374,,,2.413644700005534,3.965952794572974e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,Extra Trees,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5269274546216978,0.5507971824225654,0.5914939418757682,0.5153641321281994,0.5548381516967545,,,1.3024089999962598,4.047528904367304e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,HistGradientBoostingClassifier,time_block_split,155796.0,33385.0,33386.0,9,42,ok,0.5363325945006889,0.586074530725171,0.6099507609067855,0.5306299540707088,0.5633329730467279,,,18.193623600003775,8.975603546409163e-06
MQTTEEB-D,audited_metadata_main,broker,broker_audited_metadata_main,multiclass,MLP,all,,,,9,42,skipped_optional_too_slow_or_unstable,,,,,,,,,
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.8804588749775355,0.5913493611311599,0.5928372555677497,0.5920832944849691,0.880941709656854,0.5343556742573108,0.9369712596617579,0.22868420000304468,3.869436289727927e-07
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Random Forest,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.8247169472233871,0.6148379221305997,0.7552376046607361,0.6375939572249777,0.856915517574093,0.7963314804620123,0.9690190386413456,1.8289801999926567,4.150233630995243e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Extra Trees,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.8150422332714311,0.6093009100759857,0.7520687087806377,0.6289666973617776,0.8502614534717315,0.7968478521092539,0.9692650436862772,0.5051410000014585,2.211370035323759e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,HistGradientBoostingClassifier,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.8325046426645899,0.6198667278834532,0.7582500081974531,0.6449887037675468,0.8622889498072376,0.809401492341406,0.9743084063092854,0.9808078999922145,1.0817378540278147e-06
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Isolation Forest,random_stratified,155796.0,33385.0,33386.0,2,42,ok,0.4315880908165099,0.5156517388923232,0.5517301268057113,0.36582570167703676,0.5378196425033512,0.5150378142093665,0.9343605241551681,0.20499179999751505,3.535701791179086e-05
MQTTEEB-D,audited_metadata_main,strict,strict_audited_metadata_main,binary,Logistic Regression,time_block_split,155796.0,33385.0,33386.0,2,42,ok,0.8680285149463847,0.5829024793046154,0.6187289503221727,0.5953670303388803,0.8797086062741674,0.5452754023258616,0.946482477387018,0.21176409999316093,3.682861078818098e-07
